Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector,price,PER,per_group
034020,두산에너빌리티,KOSPI,70205501601600,159616,174.0,174.0,16233055000000.0,2729719000000.0,1017600000000.0,394689000000.0,26314835000000.0,10049022000000.0,8945820000000.0,14653743000000.0,11661092000000.0,2024.0,CFS,방산/중공업,100100.0,575.2873563218391,고PER성장주
042700,한미반도체,KOSPI,29499125900000,161383,1589.0,1584.0,558917191547.0,314522196913.0,255391604854.0,152614498001.0,710872366678.0,407791209288.0,160040613379.0,710872366678.0,540887863389.0,2024.0,CFS,IT/전자,296500.0,186.59534298300818,고PER성장주
035720,카카오,KOSPI,22138321400000,258801,126.0,92.0,,,460212161525.0,-161870567171.0,25773028304462.0,10958808525169.0,8632656976873.0,25773028304462.0,13942894159737.0,2024.0,CFS,IT/전자,48200.0,382.53968253968253,고PER성장주
457190,이수스페셜티케미컬,KOSPI,2755961126400,1762569,358.0,351.0,332069862904.0,46895678931.0,14206083843.0,10511891726.0,299546745134.0,140988568163.0,164100833549.0,299546745134.0,121654548291.0,2024.0,OFS,에너지/화학,89600.0,250.27932960893855,고PER성장주
196170,알테오젠,KOSDAQ GLOBAL,18924213500500,989619,1172.0,1163.0,102854620800.0,64069078470.0,25403990856.0,60690355931.0,409011974213.0,211784660785.0,129185745943.0,409011974213.0,274091061091.0,2024.0,CFS,바이오/제약,355500.0,303.32764505119457,고PER성장주
277810,레인보우로보틱스,KOSDAQ,12784506422000,1261644,110.0,110.0,19346780087.0,6315432890.0,-2978979764.0,,139881005679.0,113965181694.0,5788485094.0,139881005679.0,132751303410.0,2024.0,CFS,IT/전자,602000.0,5472.727272727273,고PER성장주
141080,리가켐바이오,KOSDAQ GLOBAL,7798001994000,842619,227.0,224.0,,,-20913487724.0,7800099578.0,738382908190.0,550261759025.0,117182806549.0,738382908190.0,615998105853.0,2024.0,CFS,바이오/제약,204000.0,898.6784140969163,고PER성장주
043260,성호전자,KOSDAQ,3191527035000,317210,147.0,145.0,207326568063.0,35962817345.0,6311648229.0,8076765671.0,367331808054.0,189750127718.0,167849424705.0,367331808054.0,143473786324.0,2024.0,CFS,IT/전자,43500.0,295.9183673469388,고PER성장주
058610,에스피지,KOSDAQ,2672371880000,220686,591.0,591.0,388476767485.0,63687613191.0,12335226942.0,13113747075.0,397514155964.0,267611617008.0,118946486396.0,397514155964.0,254135688485.0,2024.0,CFS,IT/전자,113800.0,192.5549915397631,고PER성장주
039200,오스코텍,KOSDAQ,2142457856000,263654,23.0,23.0,34007602680.0,31780697443.0,-2733857885.0,-1589923760.0,170778209860.0,141218953845.0,34779293086.0,170778209860.0,132359641489.0,2024.0,CFS,바이오/제약,52400.0,2278.2608695652175,고PER성장주
323280,태성,KOSDAQ,2125443408000,1366000,233.0,232.0,59212420040.0,14559219533.0,6037657086.0,5968175094.0,79613977957.0,33588382260.0,22129721055.0,79613977957.0,40982352292.0,2024.0,CFS,IT/전자,60700.0,260.51502145922746,고PER성장주
099320,쎄트렉아이,KOSDAQ,1928520055800,449254,722.0,722.0,171279451654.0,26787588859.0,-3072159411.0,6249303506.0,446984592737.0,289087192982.0,209768801579.0,446984592737.0,224021721955.0,2024.0,CFS,IT/전자,184900.0,256.0941828254848,고PER성장주
437730,삼현,KOSDAQ,1759769968500,262266,274.0,,100447699055.0,13837444224.0,5516949984.0,8314379320.0,140292826674.0,94293156974.0,20997060791.0,140292826674.0,115237838264.0,2024.0,CFS,소재/철강,51600.0,188.32116788321167,고PER성장주
